"Tweet","Type"
"attjobs
@attJOBS
·
Nov 26
Sheila Meyers started donating her blood back in high school, to help with her cousin’s leukemia treatment. Today, she works with a team of volunteers to make it easier for others to donate blood - and save lives. Read her story: http://go.att.jobs/60121uunw #LifeAtATT #ATTimpact","Leukemia"
"UCLA Broad Stem Cell
@UCLAstemcell
·
Nov 27
A new finding from Dr. Hanna Mikkola in @nature
 could greatly improve treatment options for blood cancers like leukemia and for many inherited blood diseases.","Leukemia"
"Chad Leistikow
@ChadLeistikow
·
Dec 3
Oh man. 

Tough news that former Hawkeye 4-time all-American Brandon Sorenson has been diagnosed with acute lymphoblastic leukemia. Started treatment today.

“I am prepared to beat this disease, and there is no wait,"" Sorenson said in a statement.","Leukemia"
"Piramal Group
@PiramalGroup
·
Dec 3
.@PiramalPharma
 validates its integrated business model and expertise as a leading #CDMO by announcing its partnership with @BGenBio
 on the development of Fast Track Designated #Leukemia Treatment leveraging its Xcelerate Integrated Solutions™ platform. ","Leukemia"
"Harmony
@f_montevirgen
·
Nov 27
Hello twitter world!

Sheila Fernandez Montevirgen, my Mother was diagnosed with Acute Myeloid Leukemia (AML). 
We are asking for your kind help to save a very special person in our life, and we really need a blood donation for her treatment. We are also asking for your prayers.","Leukemia"
"St. Jude India ChildCare Centres
@StJudeChildCare
·
Dec 1
Starting our week with the inspirational story of one-year-old Parth Ghoti who came to our #CottonGreen centres in October this year for the treatment of #leukemia.He took his first baby steps in our centres making everyone emotional yet happy. We wish him a speedy recovery.","Leukemia"
"Cleveland Clinic
@ClevelandClinic
·
Nov 30
Leukemia is often considered a childhood illness, but the blood disorder cancer actually affects far more adults (and there are several treatment options):","Leukemia"
"Trackwrestling
@trackwrestling
·
Dec 3
Four-time All-American Brandon Sorensen begins treatment for leukemia.","Leukemia"
"K.J. Pilcher
@kjpilcher
·
Dec 3
Press conference opened with a sobering dose of reality. Brands announced former Hawkeye All-American Brandon Sorensen has been diagnosed with acute lymphoblastic leukemia. Testing began last week and he started treatment today at UIHC.","Leukemia"
"National Cancer Institute
@theNCI
·
Dec 2
Treatment with the targeted drug gilteritinib (Xospata) can improve survival compared with chemotherapy for some people with acute myeloid leukemia: https://cancer.gov/news-events/cancer-currents-blog/2019/aml-flt3-gilteritinib-improved-survival #FLT3 #leukemia","Leukemia"
"BeiGene
@BeiGeneUSA
·
40m
We’re committed to supporting the #leukemia & #lymphoma community and are evaluating our #BTK inhibitor in chronic lymphocytic leukemia, or CLL, with the goal of delivering meaningful treatment options to patients. #ASH19 #leusm #lymsm","Leukemia"
